,Strain,Type,Rating,Effects,Flavor,Description,cleaned_effects,cleaned_flavor,word_count,lem_description
0,100-Og,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",creative energetic tingly euphoric relaxed,earthy sweet citrus,69,100 og is a 50 50 hybrid strain that pack a strong punch the name supposedly refers to both it strength and high price when it first started showing up in hollywood a a plant 100 og tends to produce large dark green bud with few stem user report a strong body effect of an indica for pain relief with the more alert cerebral feeling thanks to it sativa side
1,98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.  ",relaxed aroused creative happy energetic,flowery violet diesel,97,the 98 aloha white widow is an especially potent cut of white widow that ha grown in renown alongside hawaiian legend like maui wowie and kona gold this white widow phenotype reek of diesel and skunk and ha a rich earthy taste with intermittent note of hash it bud are coated in trichomes giving it dark foliage a lustrous glint to go along with it room filling odor this one hitter quitter uplift the mind with mind bending euphoria that materializes in the body a airy relaxation 98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank
2,1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",uplifted happy relaxed energetic creative,spicy herbal sage woody,72,1024 is a sativa dominant hybrid bred in spain by medical seed co the breeder claim to guard the secret genetics due to security reason but regardless of it genetic heritage 1024 is a thc powerhouse with a sweet and spicy bouquet subtle fruit flavor mix with an herbal musk to produce uplifting sativa effect one specific phenotype is noted for having a pungent odor that fill a room similar to burning incense
3,13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",tingly creative hungry relaxed uplifted,apricot citrus grapefruit,70,13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech the two potent strain mix to create a balance between indica and sativa effect 13 dawgs ha a sweet earthy musk that brings a blend of woody citrus flavor the effect of 13 dawgs induce a happy relaxed body buzz with a creative and focused mind that counter depression and stimulates the appetite
4,24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",happy relaxed euphoric uplifted talkative,citrus earthy orange,93,also known a kosher tangie 24k gold is a 60 indica dominant hybrid that combine the legendary la strain kosher kush with champion sativa tangie to create something quite unique growing tall in it vegetative cycle and very stretchy in flower this one will need an experienced hand when grown indoors most phenotype will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush and will offer a strong citrus flavor when smoked or vaped thc level range from 18 to 24 definitely not for novice user
5,3-Bears-Og,indica,4.4,"Relaxed,Happy,Sleepy,Creative,Euphoric
","Sweet, Pungent, Earthy","3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",relaxed happy sleepy creative euphoric,sweet pungent earthy,84,3 bear og by mephisto genetics is an autoflowering cross of bear og karma s og cut and triangle kush this indica dominant strain generates pungent flavorful bud in a smaller more manageable plant size mephisto genetics describes 3 bear og a a cornerstone to their artisanal collection blending the best attribute of the fabled og kush with a compact controllable growth structure the 3 bear og ha an approximate 70 day growth cycle and offer effect that stimulate the appetite while leading the body toward sleep
6,3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",relaxed euphoric happy uplifted hungry,earthy sweet pungent,65,the 3 king marijuana strain a holy trinity of headband sour diesel and og kush is a sativa dominant hybrid and genetic masterpiece sour tanginess reek from the sage green bud and it frosty coat give you a fair warning of the 3 king potency medical patient will appreciate the versatility of this strain s medicinal effect a it relief pain stress and nausea without heavy sedation
7,303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",relaxed happy euphoric uplifted giggly,citrus pungent earthy,72,the indica dominant 303 og is a colorado strain bred by crossing pre 98 bubba kush and chemdawg it parent strain pas on a complex flavor profile of coffee and spice with diesel undertone it buzz can be described a social and creative a dreamy experience perfect for letting off steam at the end of the work day the happy euphoria induced by 303 og may help patient treating depression anxiety and stress disorder
8,3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",uplifted focused happy talkative relaxed,earthy woody flowery,51,3d cbd from snoop dogg s branded line of cannabis strain wa crafted with patient in mind with a thc cbd ratio of about 5 8 this earthy flavored sativa is preferred for treating pain inflammation and muscle tension consumer susceptible to thc induced anxiety may also appreciate the sobering relaxing balance cbd ha to offer
9,3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",relaxed tingly happy euphoric uplifted,earthy grape sweet,86,also known a optimus prime the indica dominant 3x crazy is a three way cross between og kush bubba kush and granddaddy purple it aroma is comprised of sweet grape spicy pepper and earthy note passed on by it bubba kush parent this indica will leave you sedated with soothing full body effect but not before a brief phase of clear headed cerebral psychoactivity the relaxing effect induced by 3x crazy can be used to treat a variety of severe symptom some of which include pain spasm tension and insomnia
